title,url,locale,nation,category,tags
Disroot Blog,https://disroot.org/it/blog.atom,it-it,,organizations,"xmpp,decentralization,matrix,cloud,email,fediverse,freedom,disroot"
Disroot Blog,https://disroot.org/ru/blog.atom,ru-ru,,organizations,"xmpp,decentralization,matrix,cloud,email,fediverse,freedom,disroot"
Disroot en Español,https://mastodon.la/@disroot_es.rss,es-es,,organizations,"xmpp,decentralization,matrix,cloud,email,fediverse,freedom,disroot"
District Valuer Services (DVS) - Activity on GOV.UK,https://www.gov.uk/government/organisations/district-valuer-services-dvs.atom,en-gb,united kingdom,governments,uk
DistroWatch.com: News,https://distrowatch.com/news/dw.xml,en-us,,catalogues,software
Divine Lifestyle,https://divinelifestyle.com/feed/,en-us,,news,lifestyle
DNA Lounge,https://cdn.dnalounge.com/calendar/dnalounge.rss,en-us,,events,club
DNA Lounge,https://www.dnalounge.com/calendar/dnalounge.rss,en-us,,events,club
DNS-OARC,https://www.dns-oarc.net/rss.xml,en-us,,news,internet
DokuWiki,https://www.dokuwiki.org/feed.php,en-us,,activity,"wiki,publishing,cms,website"
DopeSONIX VSTi VST AU Hip Hop Beatmaking Production Software,https://www.dopesonix.com/feed/,en-gb,united kingdom,corporations,music
Doug Hellmann,https://doughellmann.com/index.xml,en-us,,projects,python
Doug Hellmann,https://hachyderm.io/@doughellmann.rss,en-us,,news,"people,python"
DownThemAll!,https://www.downthemall.org/feed,en-us,,projects,internet
Drew DeVault,https://drewdevault.com/blog/index.xml,en-us,,news,"computer,linux,irc"
Driver and Vehicle Licensing Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency.atom,en-gb,united kingdom,governments,uk
Driver and Vehicle Standards Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/driver-and-vehicle-standards-agency.atom,en-gb,united kingdom,governments,uk
drkhsh,https://drkhsh.at/atom.xml,en-us,austria,news,"technology,computer,internet,people,unix,bsd"
dthompson,https://dthompson.us/feed.xml,en-us,,news,computer
Dustycloud Brainstorms,https://dustycloud.org/blog/index.xml,en-us,,news,"ocapn,decentralization,people"
E3 Electronic Entertainment Experience,https://e3expo.com/feed,en-us,california,events,gaming
Earthly Blog,https://earthly.dev/blog/feed.xml,en-us,california,tutorials,code
East West Railway Company Limited - Activity on GOV.UK,https://www.gov.uk/government/organisations/east-west-railway-company.atom,en-gb,united kingdom,governments,uk
Easy Cooking with Molly,https://www.easycookingwithmolly.com/feed/,en-us,,catalogues,recipe
Easy Peasy Japanesey,http://www.easypeasyjapanesey.com/blogeasypeasyjapanesey?format=rss,en-us,,catalogues,recipe
Ebbsfleet Development Corporation - Activity on GOV.UK,https://www.gov.uk/government/organisations/ebbsfleet-development-corporation.atom,en-gb,united kingdom,governments,uk
Economic and Social Research Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/economic-and-social-research-council.atom,en-gb,united kingdom,governments,uk
EditorConfig,https://editorconfig.org/blog/feed.xml,en-us,,projects,code
Educate 360 Professional Training Partners,https://educate360.com/feed/,en-us,,corporations,school
Educate 360 Professional Training Partners,https://educate360.com/feed/,en-us,,news,business
Education and Skills Funding Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/education-and-skills-funding-agency.atom,en-gb,united kingdom,governments,uk
EFF Action Center,https://act.eff.org/action.atom,en-us,,news,"privacy,internet,usa"
EFF Action Center,https://act.eff.org/action.atom,en-us,,organizations,"privacy,internet,usa"
EFF's Deeplinks Blog,https://www.eff.org/rss/updates.xml,en-us,,news,computer
eGPU.io,https://egpu.io/feed/,en-us,,forums,"graphics,hardware,computer"
Electricity Settlements Company - Activity on GOV.UK,https://www.gov.uk/government/organisations/electricity-settlements-company.atom,en-gb,united kingdom,governments,uk
electro·pizza,https://electro.pizza/feed.xml,en-us,,news,"computer,people,electronics"
Eleventy,https://www.11ty.dev/blog/feed.xml,en-us,,projects,"internet,website,publishing"
ElkArte Community,https://www.elkarte.net/community/index.php?action=.xml;type=rss2;limit=5,en-us,,forums,"cms,intrenet"
ElkArte,https://www.elkarte.net/community/index.php?board=21.0;action=.xml;type=rss2;limit=5,en-us,,projects,forums
Ellijay Makerspace,https://ellijaymakerspace.org/feed/,en-us,georgia,clubs,"recording,studio,film,3d,printing,makers"
Eloy's website,https://eloydegen.com/index.xml,en-us,netherlands,news,"computer,pda,technology,electronics,linux,telephone"
elude visibility,https://eludevisibility.org/feed.xml,en-us,,news,gaming
Email – Simplified Privacy,https://simplifiedprivacy.com/category/email/feed/,en-us,cambodia,news,internet
Employment Agency Standards Inspectorate - Activity on GOV.UK,https://www.gov.uk/government/organisations/employment-agency-standards-inspectorate.atom,en-gb,united kingdom,governments,uk
Encryption & File Tools – Simplified Privacy,https://simplifiedprivacy.com/category/encryption-files/feed/,en-us,cambodia,news,"privacy,survival,cybersecurity,computer"
Engineering and Physical Sciences Research Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/engineering-and-physical-sciences-research-council.atom,en-gb,united kingdom,governments,uk
Engineering Construction Industry Training Board - Activity on GOV.UK,https://www.gov.uk/government/organisations/engineering-construction-industry-training-board.atom,en-gb,united kingdom,governments,uk
Engineering,https://www.datadoghq.com/blog/engineering/index.xml,en-us,new york,corporations,"internet,cloud,cybersecurity"
English Institute of Sport - Activity on GOV.UK,https://www.gov.uk/government/organisations/english-institute-of-sport.atom,en-gb,united kingdom,governments,uk
Enterprise Storage,http://feeds.fosketts.net/StephenFoskettPackRat_EnterpriseStorage,en-us,,news,computer
Entertainment Software Association,https://www.theesa.com/feed/,en-us,,organizations,"association,digital,software,gaming"
Environment Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/environment-agency.atom,en-gb,united kingdom,governments,uk
Equality and Human Rights Commission - Activity on GOV.UK,https://www.gov.uk/government/organisations/equality-and-human-rights-commission.atom,en-gb,united kingdom,governments,uk
Equality Hub - Activity on GOV.UK,https://www.gov.uk/government/organisations/the-equality-hub.atom,en-gb,united kingdom,governments,uk
Eric A. Meyer,https://mastodon.social/@Meyerweb.rss,en-us,,news,"people,computer,internet,hrhtml,css"
ESPN,https://flipboard.com/@espn.rss,en-us,,news,sports
Estyn - Activity on GOV.UK,https://www.gov.uk/government/organisations/estyn.atom,en-gb,united kingdom,governments,uk
European DIGITAL SME Alliance,https://www.digitalsme.eu/feed/,en-us,belgium,organizations,"technology,digital,sustainability"
European Green Digital Coalition,https://www.greendigitalcoalition.eu/feed/,en-us,belgium,organizations,"technology,digital,sustainability"
Evaluation Task Force - Activity on GOV.UK,https://www.gov.uk/government/organisations/evaluation-task-force.atom,en-gb,united kingdom,governments,uk
Evangelical Endtimemachine,https://www.evangelicalendtimemachine.com/feed/,"ce-ph,ja-jp,nl-nl",,news,christianity
Exmoor National Park Authority - Activity on GOV.UK,https://www.gov.uk/government/organisations/exmoor-national-park-authority.atom,en-gb,united kingdom,governments,uk
exoscale syslog,https://www.exoscale.com/syslog/feed.atom,en-us,switzerland,corporations,"computer,open source,hosting,server,streaming,cloud"
exotube,https://tube.exozy.me/feeds/videos.xml,en-us,,videos,
exozy.me,https://feeds.exozy.me/rss.xml,en-us,,news,"computer,internet,digital,linux,python,code,software"
Export Control Joint Unit - Activity on GOV.UK,https://www.gov.uk/government/organisations/export-control-joint-unit.atom,en-gb,united kingdom,governments,uk
Export Guarantees Advisory Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/export-guarantees-advisory-council.atom,en-gb,united kingdom,governments,uk
Extensions - Foswiki,https://foswiki.org/Extensions/ExtensionNews?template=ExtensionNewsRssView&contenttype=text/xml,en-us,,projects,"website,publishing,internet"
ExtremeTech,https://www.extremetech.com/feed,en-us,,news,technology
EZTV,https://eztv.re/ezrss.xml,en-us,,catalogues,torrent
F1RUM's blog,https://f1rum.radio/index.xml,en-us,france,news,"internet,fediverse,technology,people,radio"
Fairphone,https://www.fairphone.com/en/feed/,en-us,,news,"privacy,linux,mobile,telecom,pda,technology"
fair.tube,https://fair.tube/feeds/videos.xml,de-de,germany,videos,"gremany,general"
Fakeologist,https://fakeologist.com/feed/,en-us,canada,news,"culture,propaganda,usa"
Fakeotube by Epic Cash,https://fakeotube.com/feed/,en-us,canada,videos,"propaganda,media,internet,psyop"
Falkon - KDE web browser,https://www.falkon.org/atom.xml,en-us,czech,projects,internet
FameThemes,https://www.famethemes.com/feed/,en-us,,catalogues,theme
Family Handyman,https://www.familyhandyman.com/feed/,en-us,,tutorials,"diy,household"
Family Justice Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/family-justice-council.atom,en-gb,united kingdom,governments,uk
Family Procedure Rule Committee - Activity on GOV.UK,https://www.gov.uk/government/organisations/family-procedure-rule-committee.atom,en-gb,united kingdom,governments,uk
FanlessTech,https://www.fanlesstech.com/feeds/posts/default,en-us,,news,"computer,technology,sbc"
FarmersForum.com,https://farmersforum.com/feed/,en-ca,canada,news,"farm,industry,food,law"
Farmers Forum,https://farmersforum.com/feed/,en-us,,catalogues,recipe
Farooq Karimi Zadeh (@farooqkz@qoto.org),https://qoto.org/@farooqkz.rss,en-us,iran,news,people
Farooq's,https://far.chickenkiller.com/index.xml,en-us,iran,news,"technology,computer,people,opinion"
Fastmail,https://www.fastmail.com/feed/,en-us,,corporations,"hosting,computer,communication,internet,business"
fatbase,https://git.2f30.org/fatbase/atom.xml,en-us,,projects,system
FatHub,https://fathub.org/feed/,en-us,,catalogues,recipe
FCDO Services  - Activity on GOV.UK,https://www.gov.uk/government/organisations/fcdo-services.atom,en-gb,united kingdom,governments,uk
FCDO Services - Activity on GOV.UK,https://www.gov.uk/government/organisations/fcdo-services.atom,en-gb,united kingdom,governments,uk
FD - Het Financieele Dagblad,https://fd.nl/?rss,nl-nl,netherlands,news,"finance,money,netherlands,economy"
Featured games - itch.io,https://itch.io/feed/featured.xml,en-us,san francisco,catalogues,game
Feddit.it,https://feddit.it/feeds/local.xml?sort=Active,it-it,italy,forums,"fediverse,italy"
Feditext,https://fedi.software/@Feditext.rss,en-us,,projects,"website,publishing,internet,fediverse"
Fediverse.Party - explore federated networks,https://fediverse.party/atom.xml,en-us,,projects,"fediverse,internet"
Fedora Magazine,https://fedoramagazine.org/feed/,en-us,,tutorials,linux
FedUp,https://share.tube/feeds/videos.xml?videoChannelId=1232,en-gb,united kingdom,news,"decentralization,privacy,technology,surveillance"
FedUp,https://share.tube/feeds/videos.xml?videoChannelId=1232,en-gb,united kingdom,videos,"decentralization,privacy,technology,surveillance"
feed2fedi,https://codeberg.org/MarvinsMastodonTools/feed2fedi.atom,en-us,,activity,"syndication,fediveres,bot"
Feedbin,https://feedbin.com/blog/atom.xml,en-us,,projects,internet
Films By Kris,https://filmsbykris.com/rss.xml,en-us,,videos,technology
Financial Conduct Authority - Activity on GOV.UK,https://www.gov.uk/government/organisations/financial-conduct-authority.atom,en-gb,united kingdom,governments,uk
Financial Reporting Council - Activity on GOV.UK,https://www.gov.uk/government/organisations/financial-reporting-council.atom,en-gb,united kingdom,governments,uk
FireBit,http://firebit.org/rss.xml,en-us,,catalogues,torrent
firefish,https://git.joinfirefish.org/firefish/firefish.atom,en-us,,activity,"fediverse,publishing,internet"
Firefish,https://joinfirefish.org/rss.xml,en-us,,projects,"website,publishing,internet,fediverse"
Fire Service College - Activity on GOV.UK,https://www.gov.uk/government/organisations/fire-service-college.atom,en-gb,united kingdom,governments,uk
FiveFilters.org Community,https://forum.fivefilters.org/posts.rss,en-us,spain,forums,"support,syndication,fivefilters"
FiveFilters.org,https://www.fivefilters.org/feed/,en-us,spain,corporations,"service,syndication,fivefilters"
FIWARE,https://www.fiware.org/feed/,en-us,germany,organizations,"technology,open source"
Flathub – recently added applications,https://flathub.org/api/v2/feed/new,en-us,,catalogues,software
Flathub – recently updated applications,https://flathub.org/api/v2/feed/recently-updated,en-us,,catalogues,software
Fleet Air Arm Museum - Activity on GOV.UK,https://www.gov.uk/government/organisations/fleet-air-arm-museum.atom,en-gb,united kingdom,governments,uk
Flipper Blog,https://blog.flipper.net/rss/,en-us,,news,"computer,electronics,hacking,cybersecurity"
Flood and Coastal Erosion Risk Management Research and Development Programme - Activity on GOV.UK,https://www.gov.uk/government/organisations/flood-and-coastal-erosion-risk-management-research-and-development-programme.atom,en-gb,united kingdom,governments,uk
Flood Forecasting Centre - Activity on GOV.UK,https://www.gov.uk/government/organisations/flood-forecasting-centre.atom,en-gb,united kingdom,governments,uk
Flood Re - Activity on GOV.UK,https://www.gov.uk/government/organisations/flood-re.atom,en-gb,united kingdom,governments,uk
Fluoride Action Network,https://fluoridealert.org/feed/,en-us,,news,"health,fluoride"
FluxBB,https://fluxbb.org/forums/extern.php?action=feed&fid=1&order=posted&type=atom,en-us,,projects,forums
"fluxbox.git, branch master",http://git.fluxbox.org/fluxbox.git/atom/?h=master,en-us,,projects,desktop
Foodly,http://foodly.com/feed/,en-us,,catalogues,recipe
Food Standards Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/food-standards-agency.atom,en-gb,united kingdom,governments,uk
"Foreign, Commonwealth & Development Office - Activity on GOV.UK",https://www.gov.uk/government/organisations/foreign-commonwealth-development-office.atom,en-gb,united kingdom,governments,uk
Forensic Science Regulator - Activity on GOV.UK,https://www.gov.uk/government/organisations/forensic-science-regulator.atom,en-gb,united kingdom,governments,uk
Forest of Illusion,https://illusion.64history.net/feed.xml,en-us,,news,gaming
Forest Research - Activity on GOV.UK,https://www.gov.uk/government/organisations/forest-research.atom,en-gb,united kingdom,governments,uk
Forestry Commission - Activity on GOV.UK,https://www.gov.uk/government/organisations/forestry-commission.atom,en-gb,united kingdom,governments,uk
Forestry England - Activity on GOV.UK,https://www.gov.uk/government/organisations/forest-enterprise-england.atom,en-gb,united kingdom,governments,uk
foreverliketh.is,https://foreverliketh.is/blog/index.xml,en-us,,news,people
Forgejo News,https://forgejo.org/rss.xml,en-us,,projects,git
FOSS Linux,https://www.fosslinux.com/feed/atom,en-us,,tutorials,linux
FOSS Torrents - Distributions,https://fosstorrents.com/feed/distribution.xml,en-us,,catalogues,torrent
FOSS Torrents - Games,https://fosstorrents.com/feed/game.xml,en-us,,catalogues,torrent
FOSS Torrents - Softwares,https://fosstorrents.com/feed/software.xml,en-us,,catalogues,torrent
Foswiki,https://blog.foswiki.org/Blog/WebAtom?contenttype=text/xml,en-us,,projects,"website,publishing,internet"
Foswiki,https://foswiki.org/Home/WebRss,en-us,,projects,"website,publishing,internet"
Framablog,https://framablog.org/feed/,fr-fr,france,organizations,"software,open source,privacy,peertube,fediverse,xmpp,framasoft"
Framacolibri,https://framacolibri.org/latest.rss,"en-us,fr-fr",france,forums,"software,open source,privacy,peertube,fediverse,xmpp,framasoft"
Framalibre - Annuaire du Libre,https://framalibre.org/rss.xml,fr-fr,france,catalogues,"software,privacy"
Framasoft,https://framapiaf.org/@Framasoft.rss,fr-fr,france,news,"software,open source,privacy,peertube,fediverse,xmpp,framasoft"
Framasoft,https://framatube.org/feeds/videos.xml?accountId=3,"en-us,fr-fr",france,videos,"software,open source,privacy,peertube,fediverse,xmpp,framasoft,technology"
Framasoft - Toute l'actualité,https://rss.framasoft.org/,fr-fr,france,news,"technology,open source,software,culture,accessibility,framasoft,france,internet"
Framasoft - Toute l'actualité,https://rss.framasoft.org/,fr-fr,france,organizations,"technology,open source,software,culture,accessibility,framasoft,france,internet"
Framatube,https://framatube.org/feeds/videos.xml,fr-fr,france,videos,technology
freeCodeCamp,https://www.freecodecamp.org/news/rss/,en-us,,tutorials,code
Freedom Light,https://www.freedomlight.org/feed/,en-us,,organizations,"phony,front,human trafficking,pedophilia,anti-encryption,anti-freedom,controlled opposition"
FreeHTML5,https://freehtml5.co/feed/,en-us,,news,design
Free Software Foundation Europe,https://mastodon.social/@fsfe.rss,en-us,germany,news,computer
Freeze Dry Guy,https://freezedryguy.com/feed/,en-us,,catalogues,recipe
FSFE Events (DE),https://fsfe.org/events/events.de.rss,de-de,germany,events,"computing,internet"
FSFE Events (FR),https://fsfe.org/events/events.fr.rss,fr-fr,germany,events,"internet,computing"
FSFE Events,https://fsfe.org/events/events.en.rss,en-us,germany,events,"computing,internet"
FSFE,https://media.fsfe.org/feeds/videos.xml?accountId=4,en-us,germany,videos,"software,open source,technology"
FSFE News (DE),https://fsfe.org/news/news.de.rss,de-de,germany,news,"technology,computer,linux,electronics,privacy,cybersecurity,unix,germany"
FSFE News (DE),https://fsfe.org/news/news.de.rss,de-de,germany,organizations,"technology,computer,linux,electronics,privacy,cybersecurity,unix,germany"
FSFE News (FR),https://fsfe.org/news/news.fr.rss,fr-fr,germany,news,"technology,computer,linux,unix,electronics,privacy,germany"
FSFE News (FR),https://fsfe.org/news/news.fr.rss,fr-fr,germany,organizations,"technology,computer,linux,unix,electronics,privacy,germany"
FSFE News,https://fsfe.org/news/news.en.rss,en-us,germany,news,"technology,computer,linux,electronics,privacy,cybersecurity,unix,germany"
FSFE News,https://fsfe.org/news/news.en.rss,en-us,germany,organizations,"technology,computer,linux,electronics,privacy,cybersecurity,unix,germany"
FSFE-Tube,https://media.fsfe.org/feeds/videos.xml,en-us,germany,videos,"software,open source"
Funkwhale Forums,https://forum.funkwhale.audio/atom,en-us,,forums,"internet,fediverse,audio,podcast,multimedia,cms"
Funkwhale,https://blog.funkwhale.audio/feeds/all.atom.xml,en-us,,news,"website,publishing,internet,audio,multimedia,podcast,fediverse,technology,music"
Funkwhale,https://blog.funkwhale.audio/feeds/all.atom.xml,en-us,,projects,"website,publishing,internet,audio,multimedia,podcast,fediverse,technology,music"
funkwhale,https://dev.funkwhale.audio/funkwhale/funkwhale.atom,en-us,,activity,"fediverse,fediverse,publishing,internet,cms,podcast,audio"
Further Education Commissioner - Activity on GOV.UK,https://www.gov.uk/government/organisations/further-education-commissioner.atom,en-gb,united kingdom,governments,uk
Futurism,https://futurism.com/feed,en-us,,news,"technology,fiction"
Gadgets To Use,https://gadgetstouse.com/feed/,en-us,,news,"technology,computer"
gajim,https://dev.gajim.org/gajim.atom,en-us,france,activity,"voip,telecom,internet,xmpp,chat"
gajim,https://dev.gajim.org/gajim/gajim.atom,en-us,france,activity,"voip,telecom,internet,xmpp,chat"
Gajim,https://gajim.org/index.xml,en-us,france,projects,"chat,voip,xmpp"
Gambling Commission - Activity on GOV.UK,https://www.gov.uk/government/organisations/gambling-commission.atom,en-gb,united kingdom,governments,uk
GamingOnLinux,https://www.gamingonlinux.com/article_rss.php,en-us,,news,gaming
GamingOnLinux,https://www.gamingonlinux.com/forum_rss.php,en-us,,forums,"game,video"
Gangmasters and Labour Abuse Authority - Activity on GOV.UK,https://www.gov.uk/government/organisations/gangmasters-and-labour-abuse-authority.atom,en-gb,united kingdom,governments,uk
Gemini Quickstart!,https://geminiquickst.art/index.xml,en-us,,news,"gemini,internet"
gemserv,https://git.sr.ht/~int80h/gemserv/log/master/rss.xml,en-us,,activity,"gemini,server"
geomyidae,gopher://bitreich.org:70/0/scm/geomyidae/atom.xml,en-us,,projects,internet
Geospatial Commission - Activity on GOV.UK,https://www.gov.uk/government/organisations/geospatial-commission.atom,en-gb,united kingdom,governments,uk
Getting Things Done,https://gettingthingsdone.com/feed/,en-us,,podcasts,business
Gezondheidaanhuis.nl - News,https://www.gezondheidaanhuis.nl/de/rss_news.php,de-de,netherlands,corporations,"health,food,nutrition"
Gezondheidaanhuis.nl - News,https://www.gezondheidaanhuis.nl/en/rss_news.php,en-gb,netherlands,corporations,"health,food,nutrition"
Gezondheidaanhuis.nl - Nieuws,https://www.gezondheidaanhuis.nl/nl/rss_news.php,nl-nl,netherlands,corporations,"health,food,nutrition"
Gitea Blog,https://blog.gitea.com/atom.xml,en-us,,projects,git
Gitea,https://social.gitea.io/@gitea.rss,en-us,,projects,git
GNOME adventures in mobile,https://blogs.gnome.org/pabloyoyoista/feed/,en-us,,news,"computer,unix"
Gnu Icecat Desktop,https://icecatbrowser.org/feed/,en-us,,projects,internet
GNU/Linux.ch,https://gnulinux.ch/rss.xml,de-de,switzerland,news,"linux,computer,industry,mobile,pda"
GNU/Linux Italia,https://mastodon.uno/@linux.rss,it-it,italy,news,linux
GNU social,http://www.gnusocial.rocks/feed.rss,en-us,,news,"website,publishing,internet,fediverse"
GNU social,http://www.gnusocial.rocks/feed.rss,en-us,,projects,"website,publishing,internet,fediverse"
go-bgp,https://git.2f30.org/go-bgp/atom.xml,en-us,,projects,system
goffi's blog,https://www.goffi.org/atom.xml,en-us,france,news,xmpp
Good e-Reader Radio,https://goodereader.com/blog/feed/podcast,en-us,,podcasts,"computer,tablet,book,audio,publishing,industry"
Gott Code,https://gottcode.org/feed.atom,en-us,,projects,"office,xfce,literature,game,mind,clock,maze,anagram,solitaire,card,sudoku,word,puzzle"
Gouvernement - Alle Nachrichten,https://gouvernement.lu/de/actualites/toutes_actualites.rss,de-de,luxemburg,governments,luxemburg
Gouvernement - All of the news,https://gouvernement.lu/en/actualites/toutes_actualites.rss,en-gb,luxemburg,governments,luxemburg
Gouvernement - Toutes les actualités,https://gouvernement.lu/fr/actualites/toutes_actualites.rss,fr-fr,luxemburg,governments,luxemburg
Government Actuary's Department - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-actuarys-department.atom,en-gb,united kingdom,governments,uk
Government Analysis Function - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-analysis-function.atom,en-gb,united kingdom,governments,uk
Government Chemist - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-chemist.atom,en-gb,united kingdom,governments,uk
Government Commercial Function - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-commercial-function.atom,en-gb,united kingdom,governments,uk
Government Communication Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-communication-service.atom,en-gb,united kingdom,governments,uk
Government Communications Headquarters - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-communications-headquarters.atom,en-gb,united kingdom,governments,uk
Government Corporate Finance Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-corporate-finance-profession-cfp.atom,en-gb,united kingdom,governments,uk
Government Data Quality Hub - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-data-quality-hub.atom,en-gb,united kingdom,governments,uk
Government Digital Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-digital-service.atom,en-gb,united kingdom,governments,uk
Government Economic Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-economic-service.atom,en-gb,united kingdom,governments,uk
Government Equalities Office - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-equalities-office.atom,en-gb,united kingdom,governments,uk
Government Estates Management - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-estates-management.atom,en-gb,united kingdom,governments,uk
Government Finance Function - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-finance-function.atom,en-gb,united kingdom,governments,uk
Government Geography Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-geography-profession.atom,en-gb,united kingdom,governments,uk
Government Internal Audit Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-internal-audit-agency.atom,en-gb,united kingdom,governments,uk
Government Knowledge & Information Management Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-knowledge-information-management-profession.atom,en-gb,united kingdom,governments,uk
Government Legal Department - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-legal-department.atom,en-gb,united kingdom,governments,uk
Government Legal Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-legal-profession.atom,en-gb,united kingdom,governments,uk
Government Occupational Psychology Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-occupational-psychology-profession.atom,en-gb,united kingdom,governments,uk
Government Office for Science - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-office-for-science.atom,en-gb,united kingdom,governments,uk
Government Office for Technology Transfer - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-office-for-technology-transfer.atom,en-gb,united kingdom,governments,uk
Government Operational Research Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-operational-research-service.atom,en-gb,united kingdom,governments,uk
Government Partnerships International - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-partnerships-international.atom,en-gb,united kingdom,governments,uk
Government People Group - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-people-group.atom,en-gb,united kingdom,governments,uk
Government Planning Inspectors - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-planning-inspectors.atom,en-gb,united kingdom,governments,uk
Government Planning Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-the-government-planning-profession.atom,en-gb,united kingdom,governments,uk
Government Property Agency - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-property-agency.atom,en-gb,united kingdom,governments,uk
Government Property Function - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-property-function.atom,en-gb,united kingdom,governments,uk
Government Recruitment Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-recruitment-service.atom,en-gb,united kingdom,governments,uk
Government Science & Engineering Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-science-engineering.atom,en-gb,united kingdom,governments,uk
Government Security Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-security-profession.atom,en-gb,united kingdom,governments,uk
Government Skills and Curriculum Unit - Activity on GOV.UK,https://www.gov.uk/government/organisations/government-skills-and-curriculum-unit.atom,en-gb,united kingdom,governments,uk
Government Social Research Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-social-research-profession.atom,en-gb,united kingdom,governments,uk
Government Statistical Service - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-statistical-service.atom,en-gb,united kingdom,governments,uk
Government Tax Profession - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-tax-profession.atom,en-gb,united kingdom,governments,uk
Government Veterinary Services - Activity on GOV.UK,https://www.gov.uk/government/organisations/civil-service-government-veterinary-services.atom,en-gb,united kingdom,governments,uk
Gov Facility Services Limited - Activity on GOV.UK,https://www.gov.uk/government/organisations/gov-facility-services-limited.atom,en-gb,united kingdom,governments,uk
go-webring,https://sr.ht/~amolith/go-webring/feed.rss,en-us,,activity,"webring,internet"
Graeme Gott,https://floss.social/@gottcode.rss,en-us,,projects,"office,xfce,literature,game,mind,clock,maze,anagram,solitaire,card,sudoku,word,puzzle"
Graeme's Blog,https://gottcode.wordpress.com/feed/,en-us,,projects,"office,xfce,literature,game,mind,clock,maze,anagram,solitaire,card,sudoku,word,puzzle"
Grav Development Blog,https://getgrav.org/blog.atom,en-us,,projects,"website,publishing,internet"
GreasyFork: Recently Updates Userscripts,https://greasyfork.org/en/scripts.atom?sort=updated,en-us,,catalogues,software
Great Britain-China Centre - Activity on GOV.UK,https://www.gov.uk/government/organisations/great-britain-china-centre.atom,en-gb,united kingdom,governments,uk
Great British Nuclear - Activity on GOV.UK,https://www.gov.uk/government/organisations/great-british-nuclear.atom,en-gb,united kingdom,governments,uk
GreenGeeks,https://www.greengeeks.com/blog/feed/,en-us,pennsylvania,corporations,"hosting,website"
Groceries Code Adjudicator - Activity on GOV.UK,https://www.gov.uk/government/organisations/groceries-code-adjudicator.atom,en-gb,united kingdom,governments,uk
Grow Your Own Services,https://growyourown.services/feed/,en-us,,news,"service,server,hosting,self-host,privacy,technology,decentralization"
GTK Development Blog,https://blog.gtk.org/feed/,en-us,,projects,toolkit
GTK,https://floss.social/@GTK.rss,en-us,,news,linux
gtk-rs blog,https://gtk-rs.org/blog/feed.xml,en-us,,projects,"rust,gtk,code,bindings"
Gumroad,https://gumroad.com/blog/rss.xml,en-us,united states,corporations,"writing,publishing,marketing"
Hackaday,https://hackaday.com/feed/,en-us,,news,"technology,computer,vehicle,science"
Hacker News: Front Page,https://hnrss.org/frontpage,en-us,,news,technology
Hacker News,https://news.ycombinator.com/rss,en-us,,news,technology
